,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
475,Zach Aston-Reese,30,CBJ,C,55,4,8,12,-10,21,4,0,0,1,8,0,0,70,5.7,135,747:19:00,13:35,2,6,25,40,127,7,26,
476,Oskar Back,24,DAL,C,50,3,9,12,3,4,3,0,0,0,8,0,1,29,10.3,69,589:44:00,11:48,80,61,56.7,26,20,10,38,
477,Zach Bogosian,34,MIN,D,56,4,8,12,1,33,4,0,0,0,8,0,0,60,6.7,146,934:29:00,16:41,0,0,,61,59,19,56,
478,Michael Carcone,28,UTA,F,38,5,7,12,-7,27,5,0,0,0,5,2,0,60,8.3,133,437:32:00,11:31,2,3,40,7,37,3,26,
479,Lawson Crouse,27,UTA,LW,55,8,4,12,-9,24,7,1,0,1,4,0,0,82,9.8,167,779:46:00,14:11,10,14,41.7,34,113,11,44,
480,Justin Danforth,31,CBJ,RW,35,5,7,12,-8,10,4,0,1,0,6,1,0,59,8.5,85,520:40:00,14:53,182,199,47.8,36,76,5,12,
481,Brenden Dillon,34,NJD,D,57,2,10,12,14,56,2,0,0,0,10,0,0,30,6.7,120,1038:04:00,18:13,0,0,,81,136,3,47,
482,Jamie Drysdale,22,PHI,D,45,2,10,12,-22,12,0,2,0,0,5,5,0,40,5,120,884:06:00,19:39,0,0,,63,9,15,45,
483,Conor Geekie,20,TBL,C,49,6,6,12,-3,14,5,1,0,2,5,1,0,54,11.1,116,595:05:00,12:09,71,98,42,22,86,7,28,
484,Radko Gudas,34,ANA,D,53,1,11,12,1,62,1,0,0,0,11,0,0,64,1.6,169,1015:34:00,19:10,0,0,,124,181,5,65,
485,Nils Höglander,24,VAN,LW,51,4,8,12,3,28,4,0,0,1,8,0,0,55,7.3,97,581:14:00,11:24,0,0,,13,56,8,22,
486,Cole Koepke,26,BOS,LW,49,7,5,12,9,8,7,0,0,1,5,0,0,50,14,102,511:54:00,10:27,0,2,0,13,105,6,14,
487,Kevin Labanc,29,CBJ,RW,34,2,10,12,1,12,2,0,0,0,10,0,0,35,5.7,93,356:49:00,10:30,0,3,0,14,29,6,14,
488,Steven Lorentz,28,TOR,C,55,5,7,12,3,4,5,0,0,2,7,0,0,46,10.9,95,574:58:00,10:27,11,16,40.7,37,135,11,18,
489,Olli Määttä,30,2TM,D,53,2,10,12,6,14,2,0,0,0,10,0,0,50,4,120,1067:48:00,20:09,0,0,,102,16,17,75,
490,Olli Määttä,30,DET,D,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,111:06:00,15:52,0,0,,7,3,1,8,
491,Olli Määttä,30,UTA,D,46,2,10,12,6,14,2,0,0,0,10,0,0,47,4.3,112,956:42:00,20:48,0,0,,95,13,16,67,
492,Emil Martinsen Lilleberg,23,TBL,D,50,0,12,12,-8,76,0,0,0,0,12,0,0,32,0,115,789:53:00,15:48,0,0,,46,88,7,42,
493,Brayden McNabb,34,VEG,D,56,3,9,12,30,22,2,0,1,0,8,0,1,71,4.2,172,1145:16:00,20:27,0,0,,123,95,13,55,
494,Nicholas Robertson,23,TOR,LW,47,8,4,12,-3,6,7,1,0,0,4,0,0,72,11.1,142,567:38:00,12:05,2,1,66.7,23,44,12,13,
495,Craig Smith,35,CHI,C,33,7,5,12,-7,24,6,1,0,1,5,0,0,65,10.8,105,386:44:00,11:43,7,12,36.8,18,23,10,21,
496,Yakov Trenin,28,MIN,C,50,6,6,12,5,29,4,0,2,2,6,0,0,54,11.1,115,658:48:00,13:11,9,22,29,22,149,7,33,
497,Jacob Trouba,30,2TM,D,53,0,12,12,-3,43,0,0,0,0,12,0,0,84,0,193,1087:40:00,20:31,0,0,,148,111,19,60,
498,Jacob Trouba,30,NYR,D,24,0,6,6,-3,22,0,0,0,0,6,0,0,46,0,88,480:10:00,20:00,0,0,,68,39,6,23,
499,Jacob Trouba,30,ANA,D,29,0,6,6,0,21,0,0,0,0,6,0,0,38,0,105,607:30:00,20:57,0,0,,80,72,13,37,
