,,,,,Goalie Stats,,,,,,,,,,,,,,,,,,,Scoring,,,,
Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
32,Logan Thompson,27,WSH,G,31,30,24,2,5,69,873,804,0.921,2.23,2,1856:49:00,21,0.7,4,80,16.8,2.39,7,0,1,1,0,
33,Joseph Woll,26,TOR,G,30,29,19,11,0,78,857,779,0.909,2.65,1,1765:43:00,16,0.552,5,93,6.2,2.85,5.8,0,0,0,0,
34,Darcy Kuemper,34,LAK,G,29,29,16,6,6,63,767,704,0.918,2.19,2,1726:47:00,18,0.621,1,84,12.4,2.36,5.9,0,0,0,2,
35,Alex Nedeljkovic,29,PIT,G,27,26,12,9,5,78,779,701,0.9,2.93,1,1595:05:00,14,0.538,3,102,-1.4,3.16,4.6,1,1,2,2,
36,Charlie Lindgren,31,WSH,G,25,25,12,9,3,64,641,577,0.9,2.63,1,1461:26:00,14,0.56,2,102,-1,2.83,3.8,0,0,0,0,
37,David Rittich,32,LAK,G,25,23,12,11,1,59,535,476,0.89,2.59,0,1367:07:00,15,0.652,5,112,-6.4,2.76,2.6,0,0,0,2,
38,Arvid Söderblom,25,CHI,G,25,23,7,12,5,73,780,707,0.906,3.01,0,1455:08:00,11,0.478,2,95,3.7,3.26,5.1,0,0,0,0,
39,Linus Ullmark,31,OTT,G,25,24,12,9,2,58,686,628,0.915,2.49,3,1400:17:00,16,0.667,5,86,9.4,2.66,5.1,0,1,1,0,
40,John Gibson,31,ANA,G,23,22,9,9,2,57,661,604,0.914,2.69,0,1269:06:00,14,0.636,2,88,8,2.88,4.8,0,1,1,2,
41,Tristan Jarry,29,PIT,G,22,21,8,8,4,69,596,527,0.884,3.31,0,1252:05:00,7,0.333,6,118,-10.4,3.55,2.5,0,0,0,2,
42,Spencer Knight,23,FLA,G,22,20,11,8,1,51,542,491,0.906,2.47,2,1238:41:00,12,0.6,3,96,2.3,2.66,3.5,0,2,2,0,
43,Alex Lyon,32,DET,G,22,19,10,6,1,50,522,472,0.904,2.68,1,1118:20:00,11,0.579,6,97,1.3,2.9,3.3,0,0,0,2,
44,Ilya Samsonov,27,VEG,G,22,22,13,7,2,60,580,520,0.897,2.72,1,1321:43:00,12,0.545,5,105,-3,2.95,3.2,0,1,1,2,
45,Daniel Vladař,27,CGY,G,22,22,7,10,5,68,608,540,0.888,3.07,2,1327:59:00,11,0.5,5,114,-8.2,3.3,2.8,0,1,1,2,
46,Justus Annunen,24,2TM,G,22,18,13,7,0,57,519,462,0.89,3.07,0,1114:18:00,8,0.444,2,112,-6,3.28,2.5,0,0,0,0,
47,Justus Annunen,24,COL,G,11,9,6,4,0,28,218,190,0.872,3.23,0,520:50:00,4,0.444,2,131,-6.6,3.46,0.6,0,0,0,0,
48,Justus Annunen,24,NSH,G,11,9,7,3,0,29,301,272,0.904,2.93,0,593:28:00,4,0.444,0,98,0.6,3.13,1.9,0,0,0,0,
49,Jake Allen,34,NJD,G,21,20,9,11,1,51,567,516,0.91,2.56,4,1194:57:00,11,0.55,3,92,4.7,2.76,3.9,0,0,0,0,
50,Anton Forsberg,32,OTT,G,21,20,8,10,1,57,535,478,0.893,2.89,2,1184:20:00,8,0.4,5,108,-4.4,3.09,2.8,0,0,0,0,
51,Philipp Grubauer,33,SEA,G,21,21,5,15,1,74,552,478,0.866,3.83,0,1159:24:00,7,0.333,8,136,-19.7,4.14,1.3,0,0,0,0,
52,Connor Ingram,27,UTA,G,21,21,9,7,4,62,533,471,0.884,3.23,0,1151:31:00,8,0.381,3,118,-9.6,3.49,2.2,0,2,2,2,
53,Calvin Pickard,32,EDM,G,21,18,14,5,0,48,484,436,0.901,2.52,0,1144:00:00,13,0.722,2,101,-0.4,2.73,2.9,0,0,0,0,
54,Joel Hofer,24,STL,G,20,18,10,7,1,53,548,495,0.903,2.88,1,1103:24:00,9,0.5,2,98,0.9,3.1,3.4,0,1,1,2,
55,Marc-André Fleury,40,MIN,G,19,17,11,6,1,46,512,466,0.91,2.57,1,1075:05:00,12,0.706,2,91,4.3,2.73,3.5,0,0,0,2,
56,Joonas Korpisalo,30,BOS,G,19,17,9,6,2,51,474,423,0.892,2.86,3,1071:15:00,8,0.471,4,109,-4.4,3.08,2.4,0,0,0,0,
57,Jonathan Quick,39,NYR,G,18,15,8,5,2,50,498,448,0.9,3.03,2,988:36:00,6,0.4,3,102,-1.1,3.28,2.9,0,0,0,2,
58,Anthony Stolarz,31,TOR,G,18,18,10,5,2,36,507,471,0.929,2.08,1,1036:19:00,13,0.722,2,72,13.8,2.26,4.5,0,0,0,0,
59,Thatcher Demko,29,VAN,G,17,17,6,6,3,45,412,367,0.891,2.87,1,941:05:00,8,0.471,6,111,-4.5,3.06,2,0,0,0,0,
60,Casey DeSmith,33,DAL,G,17,15,9,6,0,39,438,399,0.911,2.5,2,936:59:00,7,0.467,2,91,4.1,2.69,3.1,0,1,1,2,
